
PLAYER	2013/14 	2013/14(*)
429.	Ognjen Kuzmic	$490,180	$570,354
429.	Peyton Siva	$490,180	$570,354
429.	Tony Mitchell	$490,180	$570,354
429.	Gal Mekel	$490,180	$570,354
429.	Carrick Felix	$490,180	$570,354
429.	Matthew Dellavedova	$490,180	$570,354
429.	Phil Pressey	$490,180	$570,354
449.	Shannon Brown	$481,562	$560,326
450.	Solomon Jones	$474,583	$552,205
451.	Erik Murphy	$455,580	$530,094
452.	Jason Collins	$436,316	$507,680
453.	Luke Babbitt	$387,995	$451,455
454.	Daniel Orton	$369,322	$429,728
455.	Maalik Wayns	$361,952	$421,153
456.	Christapher Johnson	$320,000	$372,339
457.	Jarvis Varnado	$310,908	$361,759
458.	Shavlik Randolph	$306,036	$356,091
459.	Hilton Armstrong	$296,138	$344,574
460.	Dewayne Dedmon	$256,623	$298,595
461.	Stephen Jackson	$238,739	$277,787
462.	Hamed Haddadi	$200,000	$232,712
463.	Chris Smith	$184,538	$214,721
464.	Mike Muscala	$161,471	$187,881
465.	Troy Daniels	$158,587	$184,525
466.	James Southerland	$155,704	$181,170
467.	Jamaal Tinsley	$139,951	$162,841
468.	Chris Wright	$139,212	$161,981
469.	Chris Babb	$138,403	$161,040
470.	Justin Hamilton	$126,870	$147,620
471.	Jorge Gutierrez	$121,103	$140,910
472.	Reggie Williams	$111,518	$129,757
473.	Damion James	$107,776	$125,403
473.	Dexter Pittman	$107,776	$125,402
475.	Arinze Onuaku	$106,776	$124,240
476.	Othyus Jeffers	$104,034	$121,048
476.	Manny Harris	$104,034	$121,049
478.	Elias Harris	$100,000	$116,356
479.	DeAndre Liggins	$88,429	$102,892
480.	Royal Ivey	$74,839	$87,079
481.	Melvin Ely	$74,469	$86,649
482.	Sasha Vujacic	$69,791	$81,206
483.	Casper Ware	$69,201	$80,519
484.	Seth Curry	$66,318	$77,164
485.	Willie Reed	$57,668	$67,100
485.	James Nunnally	$57,668	$67,100
487.	Darius Johnson-Odom	$46,404	$53,993
487.	Mustafa Shakur	$46,404	$53,993
489.	DJ Stephens	$28,834	$33,550
489.	Tony Mitchell	$28,834	$33,550
489.	Shane Edwards	$28,834	$33,550
489.	Vander Blue	$28,834	$33,550
